Date;Open;High;Low;Close*;Adj Close**;Volume
Nov 08, 2019;11.23;11.55;11.14;11.52;11.52;62,480,600
Nov 07, 2019;11.1;11.32;11.09;11.29;11.29;71,082,300
Nov 06, 2019;10.93;11.1;10.79;11.02;11.02;78,002,300
Nov 05, 2019;10.92;10.97;10.72;10.97;10.97;71,381,700
Nov 04, 2019;10.42;10.95;10.42;10.93;10.93;97,780,000
Nov 01, 2019;10.08;10.39;10.06;10.38;10.38;82,053,300
Oct 31, 2019;10.05;10.21;9.86;9.98;9.98;86,633,900
Oct 30, 2019;9.78;10.37;9.71;10.11;10.11;215,943,400
Oct 29, 2019;9.01;9.14;8.93;9.07;9.07;45,759,000
Oct 28, 2019;9.02;9.12;8.99;9.07;9.07;31,754,900
Oct 25, 2019;8.92;9.09;8.92;9;9;42,159,700
Oct 24, 2019;9.12;9.15;8.88;8.95;8.95;34,131,700
Oct 23, 2019;8.98;9.15;8.93;9.14;9.14;47,584,900
Oct 22, 2019;8.77;9.06;8.61;9.06;9.06;57,115,100
Oct 21, 2019;8.99;9.12;8.76;8.79;8.79;60,584,800
Oct 18, 2019;9.01;9.1;8.95;8.96;8.96;39,012,900
Oct 17, 2019;8.92;9.09;8.88;9.04;9.04;32,661,000
Oct 16, 2019;8.86;9.07;8.84;8.9;8.9;57,841,500
Oct 15, 2019;8.74;8.92;8.61;8.89;8.89;38,834,300
Oct 14, 2019;8.84;8.85;8.64;8.72;8.72;34,052,700
Oct 11, 2019;8.59;8.92;8.58;8.8;8.8;55,835,000
Oct 10, 2019;8.34;8.52;8.31;8.45;8.45;30,546,100
Oct 09, 2019;8.31;8.37;8.24;8.35;8.35;32,840,800
Oct 08, 2019;8.48;8.5;8.27;8.28;8.28;45,502,400
Oct 07, 2019;8.55;8.65;8.48;8.56;8.56;32,170,400
