Date;Open;High;Low;Close*;Adj Close**;Volume
Oct 04, 2019;8.61;8.7;8.54;8.57;8.57;52,272,800
Oct 03, 2019;8.5;8.71;8.25;8.71;8.71;58,626,600
Oct 02, 2019;8.56;8.62;8.41;8.51;8.51;47,520,800
Oct 01, 2019;8.96;9.04;8.51;8.61;8.61;68,778,600
Sep 30, 2019;9.08;9.1;8.94;8.94;8.94;35,091,400
Sep 27, 2019;9.04;9.17;8.99;9.04;9.04;30,511,000
Sep 26, 2019;9.18;9.21;8.96;9.02;9.02;37,229,800
Sep 25, 2019;8.96;9.2;8.94;9.16;9.16;43,859,400
Sep 24, 2019;9.31;9.35;8.96;8.97;8.97;53,343,000
Sep 23, 2019;9.22;9.39;9.2;9.34;9.34;33,511,100
Sep 20, 2019;9.46;9.54;9.34;9.37;9.37;57,530,400
Sep 19, 2019;9.35;9.5;9.34;9.42;9.42;33,935,300
Sep 18, 2019;9.31;9.39;9.18;9.38;9.38;40,270,700
Sep 17, 2019;9.3;9.39;9.25;9.36;9.36;37,954,000
Sep 16, 2019;9.3;9.42;9.17;9.38;9.38;45,748,400
Sep 13, 2019;9.31;9.45;9.14;9.34;9.34;45,589,400
Sep 12, 2019;9.4;9.52;9.22;9.26;9.25;68,115,100
Sep 11, 2019;9.15;9.36;9.06;9.36;9.35;57,094,900
Sep 10, 2019;8.91;9.27;8.9;9.14;9.13;62,617,200
Sep 09, 2019;8.75;9.05;8.73;8.96;8.95;49,960,500
Sep 06, 2019;8.82;8.82;8.57;8.71;8.7;42,846,200
Sep 05, 2019;8.99;9.23;8.8;8.81;8.8;86,891,100
Sep 04, 2019;8.41;8.87;8.4;8.8;8.79;93,653,700
Sep 03, 2019;8.1;8.39;8.08;8.33;8.32;67,648,900
Aug 30, 2019;8.14;8.26;8.11;8.25;8.24;47,323,600
Aug 29, 2019;8.04;8.2;8;8.11;8.1;58,741,000
Aug 28, 2019;7.92;7.99;7.76;7.94;7.93;57,698,300
Aug 27, 2019;8.09;8.11;7.91;7.93;7.92;66,069,600
Aug 26, 2019;8.06;8.1;7.92;8.05;8.04;57,987,200
Aug 23, 2019;8.09;8.1;7.76;7.97;7.96;128,598,300
Aug 22, 2019;8.18;8.31;8.11;8.19;8.18;68,146,600
Aug 21, 2019;8.36;8.48;8.14;8.16;8.15;85,258,500
Aug 20, 2019;8.58;8.6;8.33;8.38;8.37;102,302,300
Aug 19, 2019;8.88;8.89;8.61;8.67;8.66;111,637,600
Aug 16, 2019;8.41;8.8;8.37;8.79;8.78;248,883,600
Aug 15, 2019;8.54;8.63;7.65;8.01;8;401,048,700
Aug 14, 2019;9.24;9.3;8.96;9.03;9.02;89,194,600
Aug 13, 2019;9.23;9.59;9.21;9.35;9.34;74,026,400
Aug 12, 2019;9.04;9.09;8.95;9.05;9.04;65,574,900
Aug 09, 2019;9.47;9.48;9.12;9.15;9.14;76,720,800
Aug 08, 2019;9.51;9.53;9.32;9.49;9.48;49,406,600
Aug 07, 2019;9.44;9.47;9.23;9.46;9.45;76,790,400
Aug 06, 2019;9.71;9.75;9.48;9.57;9.56;66,397,800
Aug 05, 2019;9.79;9.81;9.61;9.66;9.65;70,243,200
Aug 02, 2019;10.01;10.08;9.82;10;9.99;64,296,400
Aug 01, 2019;10.37;10.49;9.98;10.08;10.07;87,921,700
Jul 31, 2019;10.76;10.79;10.05;10.45;10.44;172,474,100
Jul 30, 2019;10.39;10.58;10.28;10.52;10.51;45,314,500
Jul 29, 2019;10.5;10.58;10.38;10.38;10.37;37,369,400
Jul 26, 2019;10.47;10.55;10.4;10.51;10.5;27,015,800
Jul 25, 2019;10.63;10.67;10.36;10.43;10.42;46,121,000
Jul 24, 2019;10.58;10.7;10.54;10.68;10.67;44,897,500
Jul 23, 2019;10.28;10.68;10.27;10.65;10.64;74,298,300
Jul 22, 2019;10.05;10.23;10.05;10.21;10.2;43,326,900
Jul 19, 2019;10.08;10.19;10.03;10.04;10.03;34,653,900
Jul 18, 2019;10.01;10.19;9.96;10.06;10.05;45,155,200
Jul 17, 2019;10.37;10.37;9.98;9.98;9.97;53,683,000
Jul 16, 2019;10.23;10.4;10.21;10.38;10.37;39,533,200
Jul 15, 2019;10.25;10.34;10.2;10.27;10.26;42,095,100
Jul 12, 2019;10.18;10.39;10.14;10.37;10.36;39,195,500
Jul 11, 2019;10.22;10.31;10.1;10.11;10.1;33,670,100
Jul 10, 2019;10.29;10.43;10.18;10.2;10.19;39,101,700
Jul 09, 2019;10.12;10.29;10.04;10.25;10.24;35,455,800
Jul 08, 2019;10.42;10.43;10.14;10.2;10.19;48,143,100
Jul 05, 2019;10.54;10.55;10.37;10.5;10.49;30,267,700
Jul 03, 2019;10.66;10.66;10.54;10.61;10.6;22,175,600
Jul 02, 2019;10.63;10.72;10.57;10.62;10.61;30,121,700
Jul 01, 2019;10.62;10.72;10.53;10.63;10.62;39,925,500
Jun 28, 2019;10.39;10.5;10.37;10.5;10.49;44,020,400
Jun 27, 2019;10.24;10.44;10.24;10.4;10.38;33,283,300
Jun 26, 2019;10.22;10.39;10.2;10.27;10.25;34,128,000
Jun 25, 2019;10.26;10.28;10.1;10.22;10.2;35,496,200
Jun 24, 2019;10.46;10.53;10.27;10.28;10.26;36,598,800
Jun 21, 2019;10.67;10.71;10.45;10.48;10.46;65,576,000
Jun 20, 2019;10.47;10.7;10.47;10.63;10.61;65,961,500
Jun 19, 2019;10.47;10.61;10.33;10.34;10.32;60,616,700
Jun 18, 2019;10.11;10.43;10.09;10.42;10.4;73,563,600
Jun 17, 2019;10.2;10.24;10.02;10.05;10.03;46,050,300
Jun 14, 2019;10.28;10.34;10.18;10.23;10.21;34,355,100
Jun 13, 2019;10.36;10.52;10.25;10.31;10.29;62,115,700
Jun 12, 2019;10.08;10.39;10.02;10.28;10.26;54,970,100
